Request,Total Time,Connection Time,TTFB
1,0.349062,0.099544,0.343470
2,0.203724,0.011325,0.200381
3,0.214297,0.012091,0.207607
4,0.237340,0.013206,0.195155
5,0.205104,0.012140,0.203469
6,0.208442,0.010944,0.205260
7,0.192561,0.010927,0.190735
8,0.209300,0.010961,0.203730
9,0.204474,0.010989,0.202688
10,0.241981,0.010866,0.203087
11,0.201086,0.012222,0.194677
12,0.229258,0.010847,0.191371
13,0.202977,0.011080,0.200796
14,0.402633,0.010764,0.363659
15,0.194735,0.010980,0.192467
16,0.192986,0.011020,0.190687
17,0.229428,0.011101,0.190732
18,0.208032,0.011375,0.203605
19,0.210046,0.015277,0.207724
20,0.212840,0.011182,0.209518
